"admin_area_1","admin_area_2","admin_area_3"
NA,"eb Ebonyi State","eb Onicha Local Government Area"
NA,"ed Edo State","ed Akoko-Edo Local Government Area"
NA,"ed Edo State","ed Egor Local Government Area"
NA,"ed Edo State","ed Esan Central Local Government Area"
NA,"ed Edo State","ed Esan North-East Local Government Area"
NA,"ed Edo State","ed Esan South-East Local Government Area"
NA,"ed Edo State","ed Esan West Local Government Area"
NA,"ed Edo State","ed Etsako Central Local Government Area"
NA,"ed Edo State","ed Etsako East Local Government Area"
NA,"ed Edo State","ed Etsako West Local Government Area"
NA,"ed Edo State","ed Igueben Local Government Area"
NA,"ed Edo State","ed Ikpoba-Okha Local Government Area"
NA,"ed Edo State","ed Oredo Local Government Area"
NA,"ed Edo State","ed Orhionmwon Local Government Area"
NA,"ed Edo State","ed Ovia North-East Local Government Area"
NA,"ed Edo State","ed Ovia South-West Local Government Area"
NA,"ed Edo State","ed Owan East Local Government Area"
NA,"ed Edo State","ed Owan West Local Government Area"
NA,"ed Edo State","ed Uhunmwonde Local Government Area"
NA,"ek Ekiti State","ek Ado Ekiti Local Government Area"
NA,"ek Ekiti State","ek Efon Local Government Area"
NA,"ek Ekiti State","ek Ekiti East Local Government Area"
NA,"ek Ekiti State","ek Ekiti South West Local Government Area"
NA,"ek Ekiti State","ek Ekiti West Local Government Area"
NA,"ek Ekiti State","ek Emure Local Government Area"
NA,"ek Ekiti State","ek Ido-Osi Local Government Area"
NA,"ek Ekiti State","ek Ijero Local Government Area"
NA,"ek Ekiti State","ek Ikere Local Government Area"
NA,"ek Ekiti State","ek Ikole Local Government Area"
NA,"ek Ekiti State","ek Ilejemeje Local Government Area"
NA,"ek Ekiti State","ek Irepodun/Ifelodun Local Government Area"
NA,"ek Ekiti State","ek Ise/Orun Local Government Area"
NA,"ek Ekiti State","ek Moba Local Government Area"
NA,"ek Ekiti State","ek Oye Local Government Area"
NA,"en Enugu State","en Aninri Local Government Area"
NA,"en Enugu State","en Awgu Local Government Area"
NA,"en Enugu State","en Enugu East Local Government Area"
NA,"en Enugu State","en Enugu North Local Government Area"
