"facility_id","admin_area_1","admin_area_2","admin_area_3"
"w3EePaVqKMz","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"w4rwyHJKWBr","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"W4VHelCNdZE","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"w5DhvQIUBQL","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"w5Foehru2SO","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"w5gb3klCYji","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"W5VZWNHM64p","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"W6qZcmnRg4N","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"W71FXxLCgwr","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Emakhandeni District"
"w91Pdaoyw6t","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"w989KOZ3wpE","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"W9sqarekapD","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"WAj0s2JUSP5","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"waqTKtBqvzx","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
"WaYcDd2d9pk","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"wBUDmbYlwLg","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Nkulumane District"
"wbX3Fgf7RX8","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"Wc63W8e4VPt","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"wDDW13evGGY","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"WDhJhhGwrLR","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"WDjdDW5YM9t","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"WdK3I5H1YIv","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"wDtbGPatTno","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"WDTZBFDMNDF","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"WEEMtqVtHT7","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Sanyati District"
"WfGoGsKArlF","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"wg2bsCI6H4I","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"WG5o4DJ5LYA","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"WGFAMx7AjVy","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"wgtPy9tJVaB","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"wGXvOjmu96h","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"wH0Gbj1nPrz","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"wH2xlL41Wbb","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"whpjZATZFoE","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"WI0PtjQIs4V","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"WIfGwjymRjc","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"Wihdkhi7Aah","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"wikYMWbP9Mj","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"wipPxuAGiAx","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"Wj4RlmwcJkb","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"wjp2vgBsUf3","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"Wk4ysTwawnO","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"WKaj0aWHhxU","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"WKajRM67kXh","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"WKb2oTWOZFK","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"WKLHmJ6RNo3","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"WksJgZlqHkn","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"wlJbhvl1hXM","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"WnPhXXKOpLq","Zimbabwe Ministry of Health","me Mashonaland East Province","me Murewa District"
"wNv0rUXoprE","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"wNWk4ZQ6j81","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"wo80amFm4OB","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"WodUaeT9wjB","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"WoxNVoYKDfP","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"wp2D6uvatyy","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"WP6I08tjKCG","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"wqTGtMBR7VW","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"WrD91KBvywr","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"wRdT8kS44sr","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Kariba District"
"wRKMZ42iW4k","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"WrL273SAP43","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"WrNbv2VF3IX","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"Wrw1IDqVBNr","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"wRZfGalLNMu","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"wsesGoK4rZD","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"wshMnhUOAJX","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"wsvthNm37mG","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"wT4eGsRLTWI","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"WTACDqodL5z","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"WTG6oEnR7sN","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"WTqubvlU5op","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"wucRLEdDKSm","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"WUctvvuFuCM","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"WuDZ8D5PcVj","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"wum43iWhBsc","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
"WuPQlo8ThPp","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"wV5yUxxZ6tB","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"WWbdpFMcvjZ","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"WWfWkLrHJVp","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"WwSWlsfhq7n","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Bindura District"
"WWtvkUkZ5lZ","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"wxhlN1mMZmB","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"WXjYZkmAcxq","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Insiza District"
"WXRprLaCJfq","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"Wy34Zk2to8H","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Sanyati District"
"WY8QnZOhdzS","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"wYA3w30yssa","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"WYa9kpJoGlO","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"wycmA4jZHbq","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"Wz8YBhr40BI","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"wzDAn1eA5kd","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"wZDTKOjUSBk","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"X0nOmkqcDn9","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"x0q87OR085S","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"x27Dvx5zX0K","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"X2WoHjDYwja","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"x34uXkCe1ET","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"x3RUgj2P3u6","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"X427t80fXox","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"x44HsR9Qq1X","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"X4dssd21wEo","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"x66hV0UrQCG","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"X6AP7mzriHR","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
"x6fzK3lC31k","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
