facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
biTSdpIkpqn,Niger,Zinder,DS Matamèye,Commune Tsaouni
BIWFL6s1SWJ,Niger,Tillaberi,DS Kollo,Commune Karma
bJ3EKMfzG7D,Niger,Agadez,DS Agadez,Commune Agadez
Bj3kK9GiWVy,Niger,Dosso,DS Tibiri,Commune Guecheme
bjevvooM8f6,Niger,Maradi,DS Dakoro,Commune Sabonmachi
bjO2FjmKK8y,Niger,Tahoua,DS Tahoua,Commune Barmou
bjvXtyiziEq,Niger,Dosso,DS Dogon Doutchi,Commune Kieche
bkfzvEruZOp,Niger,Tahoua,DS Tahoua,Commune Tébaram
BkJ8wiRvdzn,Niger,Zinder,DS Damgaram Takaya,Commune Moa
bkOsWU36I2c,Niger,Dosso,DS Tibiri,Commune Doumega
BKsP7YX1nKv,Niger,Dosso,DS Boboye,Commune de Birni N'Gaouré
BkWx1yNwiIs,Niger,Tahoua,DS Birni Konni,Commune Birni N'Konni
BkxxjowPGyP,Niger,Maradi,DS Maradi Ville,Commune Maradi 2
BkyBCdRLy01,Niger,Zinder,DS Doungass,Commune Mallaoua
bL2W7WPTWGH,Niger,Tahoua,DS Tahoua,Commune Affala
bL8cOCkL24t,Niger,Maradi,DS Madarounfa,Commune Safo
blF8jlkAOKy,Niger,Zinder,DS Matamèye,Commune Yaouri
blgWzYwpdAQ,Niger,Tillaberi,DS Fillingue,HD Filingué
BLSCFeWGUW5,Niger,Maradi,DS Dakoro,Commune Kornaka
bLwG6MjZZNm,Niger,Agadez,DS Agadez,Commune Agadez
bM2A0Jx4WO6,Niger,Niamey,DS Niamey I,Commune 1er Arrondissement
bm41nHVnjBy,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
Bm7ZQk3xxD4,Niger,Agadez,DS Ingall,Commune Ingall
bM8VBxtFtWu,Niger,Tahoua,DS Tahoua,Commune Barmou
bmH64aEZkhZ,Niger,Tahoua,DS Madaoua,Commune Bangui
BmKNZik3CLJ,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
bMOSFREHOXQ,Niger,Dosso,DS Dosso,Commune Dosso
bMS8FANSTeU,Niger,Dosso,DS Dosso,Commune Dosso
bMtNIBSdIpY,Niger,Zinder,DS Zinder Ville,HD Zinder
BMW8JPXEpb2,Niger,Tahoua,DS Tahoua,Commune Bambeye
BmXLH8HgEcw,Niger,Zinder,DS Matamèye,Commune Daouche
BMxMG6RXKIT,Niger,Zinder,DS Goure,Commune Guidiguir
BnA7KuxajcR,Niger,Tahoua,DS Tassara,Commune Tassara
BnLqplrG5eb,Niger,Niamey,DS Niamey I,Commune 1er Arrondissement
bnuC0VlDxev,Niger,Zinder,DS Goure,Commune Boune
bNWkf5zES8M,Niger,Dosso,DS Dosso,Commune Farrey
Bo0l1JgOyH3,Niger,Agadez,DS Tchirozérine,Commune Tchirozérine
BO2F2jVyOAR,Niger,Tahoua,DS Illéla,Commune Badaguichiri
BOEWXYBTMTc,Niger,Maradi,DS Dakoro,Commune Dakoro
boIdQo60PFa,Niger,Zinder,DS Tanout,Commune Ollélewa
bojSMoj3xKj,Niger,Zinder,DS Mirriah,Commune Dogo
BoNwE1YNpHL,Niger,Zinder,DS Magaria,HD Magaria
bOSHZc34sv8,Niger,Tahoua,DS Keita,Commune Tamaské
bOZT4NSa0Xx,Niger,Diffa,DS N'Gourti,Commune N'Gourti
BP8eqhSSZFK,Niger,Tahoua,DS Madaoua,HD Madaoua
BpMC4eUuavx,Niger,Diffa,DS N'Guigmi,HD N'Guigmi
Bpt7dOlNkDo,Niger,Tillaberi,DS Gotheye,Commune Dargol
BPupUqXbI9U,Niger,Diffa,DS Mainé Soroa,Commune Maïné Soroa
BpuqUnpeBc1,Niger,Zinder,DS Tanout,Commune Tanout
BPZ8nUYLtAO,Niger,Maradi,DS Dakoro,Commune Roumbou 1
bQ0maej6KVS,Niger,Maradi,DS Madarounfa,Commune Safo
bq4m3fwsBxB,Niger,Tillaberi,DS Kollo,Commune Karma
BQan2XfDN5o,Niger,Maradi,DS Maradi Ville,Commune Maradi 3
BqELq4GPRYe,Niger,Tahoua,DS Keita,Commune Ibohamane
bqfpBdZGlCY,Niger,Dosso,DS Boboye,Commune de Koygolo
BqInyIs6glZ,Niger,Diffa,DS N'Guigmi,HD N'Guigmi
bQjV0D2XfkM,Niger,Tillaberi,DS Kollo,Commune Hamdallaye
BqlG4jT264V,Niger,Niamey,DS Niamey IV,Commune 4ème Arrondissement
BQnV547zqGm,Niger,Maradi,DS Madarounfa,Commune Madarounfa
bQqytm6S6sy,Niger,Tahoua,DS Keita,Commune Garhanga
BQyxk2NqBZy,Niger,Tillaberi,DS Tera,Commune Méhanna
BqZZd8hxOdS,Niger,Tillaberi,DS Tera,Commune Kokorou
BR05QTr2UNL,Niger,Tahoua,DS Tassara,Commune Tassara
bR6hSxGQJyV,Niger,Agadez,DS Ingall,Commune Ingall
BrCGwF6AWAG,Niger,Dosso,DS Falmey,Commune Falmeye
bRUJhcVAHCN,Niger,Niamey,DS Niamey II,Commune 2ème Arrondissement
BS3Fax3BqVW,Niger,Diffa,DS Mainé Soroa,HD Maine Soroa
bsaBpkOkKry,Niger,Tahoua,DS Malbaza,Commune Doguaraoua
bSAI6btvENi,Niger,Tahoua,DS Keita,Commune Garhanga
BsDOD3qwMar,Niger,Agadez,DS Iferouane,Commune Iférouane
bsEg6npeJJf,Niger,Niamey,DS Niamey II,Commune 2ème Arrondissement
BsFMfH7N25O,Niger,Tillaberi,DS Say,Commune Say
bSiDc2VZ8wR,Niger,Maradi,DS Dakoro,Commune Maiyara
bsojEA3biNO,Niger,Maradi,DS Maradi Ville,Commune Maradi 3
BSOOxmr0DYE,Niger,Tahoua,DS Abalak,Commune Azeye
BsuvHdqUSg2,Niger,Diffa,DS Mainé Soroa,HD Maine Soroa
BsVrXMXMvJK,Niger,Tahoua,DS Abalak,Commune Tabalak
BtE8l4cCkvj,Niger,Tillaberi,DS Tera,Commune Méhanna
BtEK55f2kzi,Niger,Maradi,DS Guidan Roumdji,Commune Sae Saboua
btFU0SP1MrZ,Niger,Tahoua,DS Madaoua,Commune Ourno
btHR4bDTco4,Niger,Tahoua,DS Keita,Commune Tamaské
btn2TfM979h,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
BTRpXEmsWIq,Niger,Tahoua,DS Tahoua Commune,Commune Tahoua I
