facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
DutAww7LVEI,Côte d'Ivoire,AGNEBY-TIASSA,AGBOVILLE,FACILITY AT LEVEL 4: AGBOVILLE
dux1VhCqocx,Côte d'Ivoire,TONKPI,MAN,FACILITY AT LEVEL 4: MAN
DVBOvb8FN28,Côte d'Ivoire,GÔH,OUME,FACILITY AT LEVEL 4: OUME
DvjTDRSnVtN,Côte d'Ivoire,MARAHOUE,ZUENOULA,FACILITY AT LEVEL 4: ZUENOULA
dvnOgRR8lFf,Côte d'Ivoire,ME,YAKASSE-ATTOBROU,FACILITY AT LEVEL 4: YAKASSE-ATTOBROU
Dw9I1vovUKY,Côte d'Ivoire,SUD-COMOE,ABOISSO,FACILITY AT LEVEL 4: ABOISSO
DwADvWLCMGg,Côte d'Ivoire,LÔH-DJIBOUA,DIVO,FACILITY AT LEVEL 4: DIVO
Dwg8bjQ95v5,Côte d'Ivoire,KABADOUGOU,ODIENNE,FACILITY AT LEVEL 4: ODIENNE
dWhzMKjSPkz,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
dwp9XT3avwn,Côte d'Ivoire,HAUT SASSANDRA,DALOA,FACILITY AT LEVEL 4: DALOA
DWRblnjr7iu,Côte d'Ivoire,GBEKE,BEOUMI,FACILITY AT LEVEL 4: BEOUMI
DwSlvPKzyeB,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-EST,FACILITY AT LEVEL 4: YOPOUGON-EST
dwsSyf9njUn,Côte d'Ivoire,GONTOUGO,TANDA,FACILITY AT LEVEL 4: TANDA
DX41BOBn1lI,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
DX6sZ0pBIIS,Côte d'Ivoire,ABIDJAN 2,KOUMASSI,FACILITY AT LEVEL 4: KOUMASSI
DxixRJsjTRR,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
Dxq3ea61t8g,Côte d'Ivoire,SAN PEDRO,TABOU,FACILITY AT LEVEL 4: TABOU
DXRN9r3Duob,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
dXSBxdzqyC1,Côte d'Ivoire,HAUT SASSANDRA,DALOA,FACILITY AT LEVEL 4: DALOA
dxUk7h1GyIt,Côte d'Ivoire,HAUT SASSANDRA,VAVOUA,FACILITY AT LEVEL 4: VAVOUA
Dxv9BsvEZLh,Côte d'Ivoire,MORONOU,M'BATTO,FACILITY AT LEVEL 4: M'BATTO
dY2F6bpC4hO,Côte d'Ivoire,PORO,KORHOGO 1,FACILITY AT LEVEL 4: KORHOGO 1
DYbRDT2zZsS,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
DYFBf6MwWFL,Côte d'Ivoire,SUD-COMOE,GRAND-BASSAM,FACILITY AT LEVEL 4: GRAND-BASSAM
dyH3ppkE2sh,Côte d'Ivoire,GUEMON,BANGOLO,FACILITY AT LEVEL 4: BANGOLO
dYHcR6J7Abc,Côte d'Ivoire,BERE,MANKONO,FACILITY AT LEVEL 4: MANKONO
dyqtigUT60R,Côte d'Ivoire,SUD-COMOE,ABOISSO,FACILITY AT LEVEL 4: ABOISSO
DYSYH4fblSk,Côte d'Ivoire,BAFING,TOUBA,FACILITY AT LEVEL 4: TOUBA
DYYAwRBoYG2,Côte d'Ivoire,GRANDS PONTS,DABOU,FACILITY AT LEVEL 4: DABOU
DZi1LydHCtD,Côte d'Ivoire,FOLON,MINIGNAN,FACILITY AT LEVEL 4: MINIGNAN
DzJDJTl7xia,Côte d'Ivoire,BELIER,YAMOUSSOUKRO,FACILITY AT LEVEL 4: YAMOUSSOUKRO
dzjYtsdPBnB,Côte d'Ivoire,BAGOUE,BOUNDIALI,FACILITY AT LEVEL 4: BOUNDIALI
dZszFGdGfXk,Côte d'Ivoire,TONKPI,MAN,FACILITY AT LEVEL 4: MAN
E0sWxp1enqW,Côte d'Ivoire,TCHOLOGO,OUANGOLODOUGOU,FACILITY AT LEVEL 4: OUANGOLODOUGOU
E19k4iMWltN,Côte d'Ivoire,BERE,MANKONO,FACILITY AT LEVEL 4: MANKONO
E19uQbVzrG6,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
e1bsrxGLi8W,Côte d'Ivoire,TCHOLOGO,OUANGOLODOUGOU,FACILITY AT LEVEL 4: OUANGOLODOUGOU
e1kLtVA3TED,Côte d'Ivoire,HAMBOL,NIAKARAMADOUGOU,FACILITY AT LEVEL 4: NIAKARAMADOUGOU
E1Uc8UcMExN,Côte d'Ivoire,ABIDJAN 2,KOUMASSI,FACILITY AT LEVEL 4: KOUMASSI
e2FGZS33Do0,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
e2M7aiZQE4e,Côte d'Ivoire,GBEKE,BOUAKE NORD-EST,FACILITY AT LEVEL 4: BOUAKE NORD-EST
E2qPg9DGdNt,Côte d'Ivoire,AGNEBY-TIASSA,AGBOVILLE,FACILITY AT LEVEL 4: AGBOVILLE
e2UKsuSL1Pc,Côte d'Ivoire,TONKPI,MAN,FACILITY AT LEVEL 4: MAN
E392epw5IwM,Côte d'Ivoire,ABIDJAN 1,ABOBO EST,FACILITY AT LEVEL 4: ABOBO EST
e45Eq2Bc9DN,Côte d'Ivoire,N'ZI,DIMBOKRO,FACILITY AT LEVEL 4: DIMBOKRO
e4ySYmFeqwO,Côte d'Ivoire,HAUT SASSANDRA,VAVOUA,FACILITY AT LEVEL 4: VAVOUA
E6kMbzfPQsx,Côte d'Ivoire,ABIDJAN 2,TREICHVILLE-MARCORY,FACILITY AT LEVEL 4: TREICHVILLE-MARCORY
E6kvtMFCIYa,Côte d'Ivoire,SUD-COMOE,ABOISSO,FACILITY AT LEVEL 4: ABOISSO
E72VbXF1fE1,Côte d'Ivoire,BAGOUE,TENGRELA,FACILITY AT LEVEL 4: TENGRELA
e7jiuYw3TD7,Côte d'Ivoire,GÔH,GAGNOA 2,FACILITY AT LEVEL 4: GAGNOA 2
E7LyAixSNEK,Côte d'Ivoire,PORO,KORHOGO 1,FACILITY AT LEVEL 4: KORHOGO 1
e89DjHAQkI7,Côte d'Ivoire,HAUT SASSANDRA,ISSIA,FACILITY AT LEVEL 4: ISSIA
E95jvXVcqLx,Côte d'Ivoire,GBOKLE,SASSANDRA,FACILITY AT LEVEL 4: SASSANDRA
E991s19hH6l,Côte d'Ivoire,BAFING,TOUBA,FACILITY AT LEVEL 4: TOUBA
E9fe9egQcUv,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
e9iwTgr6lYJ,Côte d'Ivoire,KABADOUGOU,MADINANI,FACILITY AT LEVEL 4: MADINANI
EA4HtsQhkuQ,Côte d'Ivoire,CAVALLY,GUIGLO,FACILITY AT LEVEL 4: GUIGLO
eAFPQ6h5OVP,Côte d'Ivoire,INDENIE-DUABLIN,ABENGOUROU,FACILITY AT LEVEL 4: ABENGOUROU
eAI9ceJBSjl,Côte d'Ivoire,N'ZI,BOCANDA,FACILITY AT LEVEL 4: BOCANDA
EArqQGjNegL,Côte d'Ivoire,PORO,KORHOGO 1,FACILITY AT LEVEL 4: KORHOGO 1
EAufEBWridz,Côte d'Ivoire,WORODOUGOU,SEGUELA,FACILITY AT LEVEL 4: SEGUELA
eAvXQoXDecC,Côte d'Ivoire,WORODOUGOU,SEGUELA,FACILITY AT LEVEL 4: SEGUELA
eaYPvAImqRD,Côte d'Ivoire,BELIER,DIDIEVI,FACILITY AT LEVEL 4: DIDIEVI
Eb9RE5pv3ow,Côte d'Ivoire,SUD-COMOE,TIAPOUM,FACILITY AT LEVEL 4: TIAPOUM
EBH26h8xEHS,Côte d'Ivoire,SUD-COMOE,GRAND-BASSAM,FACILITY AT LEVEL 4: GRAND-BASSAM
eBNqiLJ3sfJ,Côte d'Ivoire,GBEKE,BOUAKE NORD-EST,FACILITY AT LEVEL 4: BOUAKE NORD-EST
EbtP6sgDPtd,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
ebv5Oj5dpKv,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
EBWhrVyXPDJ,Côte d'Ivoire,ME,AKOUPE,FACILITY AT LEVEL 4: AKOUPE
EC4YxFnP9zR,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-EST,FACILITY AT LEVEL 4: YOPOUGON-EST
eC7OZaHy9Er,Côte d'Ivoire,BAGOUE,BOUNDIALI,FACILITY AT LEVEL 4: BOUNDIALI
ECadFFezuoX,Côte d'Ivoire,GBEKE,BEOUMI,FACILITY AT LEVEL 4: BEOUMI
EcDBz1TyI9b,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
EchnBdJ4aHp,Côte d'Ivoire,FOLON,MINIGNAN,FACILITY AT LEVEL 4: MINIGNAN
EcklTgiE7vX,Côte d'Ivoire,GÔH,GAGNOA 1,FACILITY AT LEVEL 4: GAGNOA 1
eCXOR0L7v0X,Côte d'Ivoire,GBEKE,BOUAKE NORD-OUEST,FACILITY AT LEVEL 4: BOUAKE NORD-OUEST
Ed2Y8qbg78R,Côte d'Ivoire,BERE,MANKONO,FACILITY AT LEVEL 4: MANKONO
ED3mZ9GQIKP,Côte d'Ivoire,HAUT SASSANDRA,VAVOUA,FACILITY AT LEVEL 4: VAVOUA
EDDCLGSo9hx,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
EDJw2gYz0kM,Côte d'Ivoire,LÔH-DJIBOUA,DIVO,FACILITY AT LEVEL 4: DIVO
EDjzJo5HqT5,Côte d'Ivoire,TCHOLOGO,FERKESSEDOUGOU,FACILITY AT LEVEL 4: FERKESSEDOUGOU
edl4Ll5l24N,Côte d'Ivoire,TCHOLOGO,FERKESSEDOUGOU,FACILITY AT LEVEL 4: FERKESSEDOUGOU
EDlUidCaNoX,Côte d'Ivoire,HAMBOL,KATIOLA,FACILITY AT LEVEL 4: KATIOLA
EdsmaFPMuCV,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-EST,FACILITY AT LEVEL 4: YOPOUGON-EST
Ee5jChBHIl9,Côte d'Ivoire,BELIER,TIEBISSOU,FACILITY AT LEVEL 4: TIEBISSOU
ee7ESKPY0SK,Côte d'Ivoire,NAWA,SOUBRE,FACILITY AT LEVEL 4: SOUBRE
EE7ns6c8dR2,Côte d'Ivoire,ME,YAKASSE-ATTOBROU,FACILITY AT LEVEL 4: YAKASSE-ATTOBROU
EeCYRgueWay,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-EST,FACILITY AT LEVEL 4: YOPOUGON-EST
eEGmkJlg5DH,Côte d'Ivoire,GBEKE,SAKASSOU,FACILITY AT LEVEL 4: SAKASSOU
eegPqP34qEl,Côte d'Ivoire,FOLON,KANIASSO,FACILITY AT LEVEL 4: KANIASSO
eEHJ4Dc5JWi,Côte d'Ivoire,GÔH,GAGNOA 2,FACILITY AT LEVEL 4: GAGNOA 2
Eeq7j7a9kQj,Côte d'Ivoire,PORO,M'BENGUE,FACILITY AT LEVEL 4: M'BENGUE
Eey5ShuFdu2,Côte d'Ivoire,BAFING,KORO,FACILITY AT LEVEL 4: KORO
efI2p3DwKnq,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
eFkN4dHabhK,Côte d'Ivoire,GBEKE,BOUAKE NORD-OUEST,FACILITY AT LEVEL 4: BOUAKE NORD-OUEST
EfnAboGQLxc,Côte d'Ivoire,SUD-COMOE,GRAND-BASSAM,FACILITY AT LEVEL 4: GRAND-BASSAM
eFSB0KRDeXq,Côte d'Ivoire,TONKPI,DANANE,FACILITY AT LEVEL 4: DANANE
Eg6BoufFtHv,Côte d'Ivoire,MORONOU,M'BATTO,FACILITY AT LEVEL 4: M'BATTO
Eg9rjaJj9Zw,Côte d'Ivoire,BAFING,TOUBA,FACILITY AT LEVEL 4: TOUBA
Egcpo14rhnN,Côte d'Ivoire,GONTOUGO,TANDA,FACILITY AT LEVEL 4: TANDA
EgDDvkPK3Sr,Côte d'Ivoire,BAFING,OUANINOU,FACILITY AT LEVEL 4: OUANINOU
eGxqjhKMtCS,Côte d'Ivoire,BELIER,TOUMODI,FACILITY AT LEVEL 4: TOUMODI
eH9a0MLYJCP,Côte d'Ivoire,NAWA,MEAGUI,FACILITY AT LEVEL 4: MEAGUI
eHGj3TIsp1l,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
ehjAkagwCkx,Côte d'Ivoire,TCHOLOGO,FERKESSEDOUGOU,FACILITY AT LEVEL 4: FERKESSEDOUGOU
ehK3Ly7e7K6,Côte d'Ivoire,BELIER,YAMOUSSOUKRO,FACILITY AT LEVEL 4: YAMOUSSOUKRO
