facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
quPE8YigS1Y,MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,FACILITY AT LEVEL 4: CIDADE DE QUELIMANE
QUWBJuaxOIG,MOÇAMBIQUE,MAPUTO CIDADE,KAMUBUKWANA,FACILITY AT LEVEL 4: KAMUBUKWANA
qv3bNjSObjC,MOÇAMBIQUE,TETE,MACANGA,FACILITY AT LEVEL 4: MACANGA
qVbHOW1l4KA,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
qvbZxlzb9sf,MOÇAMBIQUE,NAMPULA,RIBAUE,FACILITY AT LEVEL 4: RIBAUE
QvvejccMs94,MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,FACILITY AT LEVEL 4: KAMAVOTA
qwa9TBwYmzM,MOÇAMBIQUE,MANICA,BÁRUE,FACILITY AT LEVEL 4: BÁRUE
qxxB27cQboV,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
qY51E6q8OvL,MOÇAMBIQUE,TETE,CHANGARA,FACILITY AT LEVEL 4: CHANGARA
qzBH3fLD2zy,MOÇAMBIQUE,MAPUTO PROVINCIA,MOAMBA,FACILITY AT LEVEL 4: MOAMBA
QZvQNDkCHXx,MOÇAMBIQUE,CABO DELGADO,MELUCO,FACILITY AT LEVEL 4: MELUCO
R0Zm6RRbNyo,MOÇAMBIQUE,CABO DELGADO,NANGADE,FACILITY AT LEVEL 4: NANGADE
r2knPwVdIR7,MOÇAMBIQUE,NAMPULA,ERATI,FACILITY AT LEVEL 4: ERATI
R3I0hJ85IPq,MOÇAMBIQUE,TETE,CIDADE DE TETE,FACILITY AT LEVEL 4: CIDADE DE TETE
r58y5fPkQti,MOÇAMBIQUE,MAPUTO PROVINCIA,BOANE,FACILITY AT LEVEL 4: BOANE
R5RTzpjR25A,MOÇAMBIQUE,INHAMBANE,JANGAMO,FACILITY AT LEVEL 4: JANGAMO
r6ECUeUuk86,MOÇAMBIQUE,NAMPULA,MOMA,FACILITY AT LEVEL 4: MOMA
R7q1wb1TkQI,MOÇAMBIQUE,INHAMBANE,MORRUMBENE,FACILITY AT LEVEL 4: MORRUMBENE
r7snyBiXMqJ,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
r7yyhtJvGFy,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
R85aNPlBfWT,MOÇAMBIQUE,INHAMBANE,MASSINGA,FACILITY AT LEVEL 4: MASSINGA
RaDcA1HyTtJ,MOÇAMBIQUE,GAZA,MAPAI,FACILITY AT LEVEL 4: MAPAI
RaMdzv9q9IN,MOÇAMBIQUE,ZAMBEZIA,NAMACURRA,FACILITY AT LEVEL 4: NAMACURRA
rAnDiZ3ScAh,MOÇAMBIQUE,NIASSA,DISTRITO DE LICHINGA,FACILITY AT LEVEL 4: DISTRITO DE LICHINGA
ratl641Zas8,MOÇAMBIQUE,ZAMBEZIA,NAMACURRA,FACILITY AT LEVEL 4: NAMACURRA
rAXNAXDUbNR,MOÇAMBIQUE,SOFALA,GORONGOSA,FACILITY AT LEVEL 4: GORONGOSA
RB9BAv2h56c,MOÇAMBIQUE,CABO DELGADO,MUEDA,FACILITY AT LEVEL 4: MUEDA
rBxmN6gYTqt,MOÇAMBIQUE,MANICA,GONDOLA,FACILITY AT LEVEL 4: GONDOLA
Rcd5Z5c5NJT,MOÇAMBIQUE,INHAMBANE,CIDADE DE INHAMBANE,FACILITY AT LEVEL 4: CIDADE DE INHAMBANE
rCHA87l5pXk,MOÇAMBIQUE,GAZA,CHIBUTO,FACILITY AT LEVEL 4: CHIBUTO
trU4IMPfBXP,MOÇAMBIQUE,TETE,ZUMBO,FACILITY AT LEVEL 4: ZUMBO
rD4DVmRciUa,MOÇAMBIQUE,NIASSA,CHIMBONILA,FACILITY AT LEVEL 4: CHIMBONILA
RDaM4VEgFvU,MOÇAMBIQUE,ZAMBEZIA,ILE,FACILITY AT LEVEL 4: ILE
