"admin_area_1","admin_area_2","admin_area_3"
"République Démocratique du Congo","kc Kongo Central Province","kc Kimvula Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kinkonzi Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kisantu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kitona Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kizu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kuimba Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kwilu Ngongo Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Lukula Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Luozi Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Mangembo Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Massa Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Matadi Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Mbanza Ngungu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Muanda Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Ngidinga Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Nselo Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Nsona Mpangu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Nzanza Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Seke Banza Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Sona Bata Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Tshela Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Vaku Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Bibanga Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Bipemba Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Bonzola Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Cilundu Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Citenge Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Dibindi Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Diulu Zone de Santé"
