facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
ww59cfpPOnl,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Ngaoundaye
WwNfzUntp9M,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
wY1O7iqKlG4,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
wYf6Z5yAsgf,République centrafricaine,RS 3,Préfecture Ouham,District Bouca
WYjTEqBuxfQ,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
wYRYnMXNG5q,République centrafricaine,RS 3,Préfecture Ouham,District Batangafo-Kabo
X0BJZIv3QlR,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
x0VSWCfC31v,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
X2y9TAAcdvL,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
X3dd5g8OdyM,République centrafricaine,RS 3,Préfecture Ouham,District Nangha-Boguila
xaJhdLgNYo8,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
xbC0vImSICx,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
XbdRqQe3Uuj,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Ngaoundaye
xbubhI1PLgx,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
XCrSAyDLaSB,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
XDVcgIKVwIP,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
XG1BoO1FPqR,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
XgiayNy5M36,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Mobaye-Zangba
xgqv8Qmgvd1,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
XhMlgAAQgv6,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
XHnZKkrC3en,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
XhXajQZNjQs,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
xiPxybUFT9c,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
XIR6r84a1yA,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Mobaye-Zangba
xJfkTYiBOIb,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
XJWwoRBKGVs,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
XKpyGT6hUNR,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
Xl6lz1E97ae,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
XLuAkEVwnU7,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bozoum-Bossemptele
xMmJttKc6dz,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Bouar-Baoro
Xn3cV6uE3dA,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
XN3JbBZuvvy,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bozoum-Bossemptele
Xo2oTCooJaP,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
XpeyZHrAmJd,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 2
Xq53CMEspW2,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
XrbzL70KJbS,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
xrJPkNckwuC,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
XsMQthpW80f,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
xt2MXwUvMVo,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
Xt2uyGUIA7x,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
XTYaukLXhtk,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
Xu3UT3Wb6Nh,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
