micsanc1,sourceanc1,micsanc4,sourceanc4,micsbcg,sourcebcg,micsdelivery,sourcedelivery,micsfp,sourcefp,micsimr,sourceimr,micsnmr,sourcenmr,micspenta1,sourcepenta1,micspenta3,sourcepenta3,micspnc1,sourcepnc1,micsstill,sourcestill,year,x,country,source_file,anc1volume,anc4volume,deliveryvolume,opdvolume,pnc1volume,fp_oralvolume,anc1mics,anc4mics,bcgmics,deliverymics,fpmics,penta3mics,anc1dhs,anc4dhs,bcgdhs,deliverydhs,fpdhs,penta3dhs,dhis_livebirth,anc4hmis,deliveryhmis,wppCBR,wppIMR,wppModernUsers,wppU5MR,wpplivebirth,wppmCPR,wpptotpop,wpptotu1pop,wpptotu5pop,wppwomenrepage,iso3,IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value,indicatortype,source,province,coverage,denominator_source,datasource,change,years,group,lastsource
,,,,,,,,,,,,,,,,,,,,,,1996.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.1,104.77114,816.0,173.39609,375622.0,0.1,7472450.0,342707.0,1455540.0,1674435.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1997.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.345,106.81825,951.0,177.02806,388239.0,0.1,7734313.0,355228.0,1543415.5,1729200.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1998.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.194,104.57112,1120.0,172.83617,403112.0,0.1,8056862.0,370374.0,1619611.0,1797257.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1999.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.067,104.73361,1319.0,173.33543,418943.0,0.1,8384479.0,384585.0,1684747.0,1865982.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2000.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.901,104.5523,1545.0,172.85368,433978.0,0.1,8721465.0,398898.0,1751213.5,1935316.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2001.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.72,104.44117,1801.0,172.49335,450098.0,0.1,9070747.0,413484.0,1819696.5,2006185.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2002.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.688,104.44091,2102.0,172.5163,467423.0,0.2,9411103.0,428119.0,1885003.0,2074725.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2003.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.446,104.54056,2433.0,172.74924,481788.0,0.2,9758281.0,442684.0,1949861.5,2143850.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2004.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.232,104.56247,2819.0,172.82524,497780.0,0.2,10117355.0,456897.0,2015839.0,2212836.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2005.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.972,104.40671,3237.0,172.40121,512853.0,0.2,10467292.0,470476.0,2078861.0,2273701.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2006.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.739,104.12516,3682.0,171.90567,527402.0,0.3,10784973.0,482418.0,2134577.5,2322178.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2007.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.466,103.50658,4165.0,171.17325,538760.0,0.3,11118092.0,494928.0,2192073.0,2378688.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2008.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.242,101.31442,4711.0,166.75711,554707.0,0.3,11444870.0,507297.0,2247907.5,2445941.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2009.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,47.946,98.74512,5287.0,161.87991,564972.0,0.3,11730037.0,517789.0,2296234.0,2510519.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2010.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,47.696,102.49805,5944.0,169.81264,575837.0,0.4,12026650.0,527790.0,2345182.5,2579161.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2011.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,47.53,100.04734,6712.0,165.42705,588550.0,0.4,12216838.0,533729.0,2372162.5,2626101.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2012.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,47.282,91.44493,7418.0,148.4842,589585.0,0.5,12440327.0,542621.0,2409105.5,2679962.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
